,FAT_0,FAT_1,FAT_2,FAT_3
2023-05-03,100.64233044655779,101.18458040380311,99.96792899868589,101.00181804283346
2023-05-04,101.54745608669742,100.25031483099099,99.64378412689769,100.75751077749689
2023-05-05,102.1700345880389,100.95515834328556,100.19503020314176,99.17655945313255
2023-05-08,102.99318833200515,101.25027068110222,101.25568738351835,99.2556756734452
2023-05-09,100.77253780363495,100.30500006879761,100.43441380554192,98.84574649173462
2023-05-10,101.48746735282539,99.8544589420747,97.64311023854762,99.45957270099845
2023-05-11,100.95218130576956,99.51152482839746,97.10014492611144,100.23541881222715
2023-05-12,101.4952884253447,99.35838703954323,92.85121159031883,99.10783840607095
2023-05-15,101.1688877709065,100.82604074070628,91.53033157196066,97.20763396471695
2023-05-16,99.58842553038143,100.18510488633545,93.67588018248846,97.41872687157169
2023-05-17,100.55091422305833,98.15348533378219,92.75282455632355,96.83787458489518
2023-05-18,100.86027513745775,101.4350879781914,90.4308333112838,96.1558970386673
2023-05-19,102.20062054395808,98.2566210555326,90.39446804490329,97.69600918945716
2023-05-22,100.44626584022147,97.46908851473273,91.35987292212874,97.62692065909097
2023-05-23,99.88510933889721,97.68410995275451,92.81538104073941,98.84735015063212
2023-05-24,100.31146291519289,98.91215965389385,92.52660366604646,101.59283578381432
2023-05-25,99.79144406267176,99.18825356925876,94.98439054725432,99.62712071549137
2023-05-26,99.47317432055621,99.23706302534508,96.0200702280926,99.35514214579308
2023-05-29,99.77019633938491,99.34545135967797,99.52340110302326,96.93522715516602
2023-05-30,101.95618356891478,96.39939022391101,98.5106022182983,92.466953167761
2023-05-31,99.15231201731874,102.93064104956208,98.76520767106572,92.24063013060048
2023-06-01,98.63682384741504,102.5726465804267,98.16021971752528,92.4062014415378
2023-06-02,98.6369729297164,102.50406014663831,98.85459927428201,92.93487195534208
2023-06-05,98.92329121652075,103.56763682299342,98.30106838269575,92.56388097992813
2023-06-06,99.0457522060458,103.2664717391665,97.11840258295905,97.151953927596
2023-06-07,98.60861910778715,102.97277216897885,98.61499921396478,99.06643839045299
2023-06-08,98.23460120518654,105.30693417904932,98.44886310072705,100.9128984300649
2023-06-09,98.08625832054099,106.98467438016965,97.16193428743809,100.1233954348329
2023-06-12,101.14038635220064,107.07170306115503,93.8416637523086,98.84903657466467
2023-06-13,102.58029460562416,108.45835902077216,94.32976185775924,98.67716313832635
2023-06-14,101.09180814087718,106.95245641945847,95.37796153856328,99.50808487718541
2023-06-15,104.50445687497636,109.71116518236347,99.106318213357,96.59635968931349
2023-06-16,105.1558700495352,106.49651578287502,99.90243487953809,97.48588500423074
2023-06-19,104.11506622113565,107.85419165433552,99.53747190797084,92.89060773524254
2023-06-20,99.93798259406998,107.48001587643297,101.33836324094803,92.81424020835722
2023-06-21,98.53546517041048,106.03844579379206,105.88182408870006,91.75295030113782
2023-06-22,96.8321994375622,104.83672696248382,106.52581304543061,92.03448518347157
2023-06-23,95.53604053842056,106.17849282963232,106.79099871238338,92.11350722620195
2023-06-26,94.60222638190353,106.81052788407098,102.05049755808204,91.9205009208139
2023-06-27,93.5563733462788,106.43894598695954,101.73474961866698,91.92404793988175
2023-06-28,95.27387789148236,106.35398268627014,102.5733283544231,92.50933123968208
2023-06-29,95.79035488801787,106.04249743780127,101.24626134570755,93.7314743380787
2023-06-30,94.88131936841214,105.38652460023566,100.86603505371954,94.5928273595804
2023-07-03,94.25539580184032,103.41909574373405,100.70663071098622,96.32948492007081
2023-07-04,96.52830128013417,102.90368406610402,101.7686905253077,92.16062410920117
2023-07-05,95.5776966962616,102.53931468696702,100.7248489168461,92.5427914926783
2023-07-06,98.26025777876706,100.93508170051557,99.52229630463418,92.62939957794546
2023-07-07,99.28286543544763,101.61509639348019,99.44171184060832,93.09913762229425
2023-07-10,101.10136163047925,96.28055342316905,98.36043075840858,91.04684527171419
2023-07-11,104.95484710226775,101.73682908395938,97.68264870633907,91.77517149661921
2023-07-12,104.43609150062036,101.03950050438645,99.04773771242292,90.64008493966526
2023-07-13,105.30948337784795,101.90903442990864,101.33858789784502,91.0572240536403
2023-07-14,104.43905096970181,96.06189372715963,105.42736571729883,90.64117331417708
2023-07-17,103.206338866117,94.60189142321418,105.70094260859433,92.44076605081386
2023-07-18,102.91167911150735,98.09541467575946,106.3526517673316,94.13568729374138
2023-07-19,102.87631463702706,97.84441684493986,107.19363760852376,95.0168587805584
2023-07-20,101.55647712016452,100.50576061714239,107.01725532478976,96.97888913144598
2023-07-21,100.76001662188054,101.1474953917325,106.48696991099354,101.56553095576852
2023-07-24,96.75876046933377,99.83791727780638,105.94268898933036,103.75401441169258
2023-07-25,97.53793925055477,99.8239664600221,105.92438784664876,102.09755522506694
2023-07-26,96.18627007689017,93.78710877176195,107.77089876081925,99.57646374888449
